transaction_id,amount,transaction_type,is_fraud,transaction_hour,transaction_day,is_weekend
1,46.93,ATM,0,6,22,0
2,301.01,Online,0,7,23,0
3,131.67,POS,0,6,6,1
4,91.29,Online,0,7,23,1
5,16.96,ATM,0,3,24,1
6,16.96,ATM,0,0,2,0
7,5.98,ATM,0,21,1,1
8,201.12,ATM,0,4,10,0
9,91.91,Online,0,10,8,0
10,123.13,POS,0,3,16,0
11,2.08,Online,0,1,24,1
12,350.36,POS,0,16,14,1
13,178.64,ATM,1,11,24,0
14,23.87,POS,0,1,16,1
15,20.07,ATM,0,8,14,1
16,20.26,Online,0,5,26,0
17,36.28,POS,0,5,7,0
18,74.39,Online,0,17,18,1
19,56.55,ATM,0,21,20,1
20,34.42,Online,0,2,9,0
21,94.64,ATM,0,14,24,1
22,15.02,ATM,0,6,4,1
23,34.55,ATM,0,12,24,1
24,45.63,Online,0,9,26,0
25,60.89,Online,0,3,29,0
26,153.79,POS,0,15,16,0
27,22.27,POS,0,8,22,1
28,72.2,Online,0,20,11,0
29,89.75,Online,0,9,9,0
30,4.76,Online,0,18,17,1
31,93.53,Online,0,16,22,1
32,18.7,ATM,0,0,11,1
33,6.73,ATM,0,12,20,1
34,297.37,ATM,0,3,3,0
35,337.06,Online,0,14,21,0
36,165.23,ATM,0,9,26,1
37,36.33,ATM,0,19,11,0
38,10.28,POS,0,8,8,0
39,115.28,POS,0,7,27,1
40,58.01,ATM,0,19,10,1
41,13.02,ATM,0,5,6,1
42,68.35,ATM,0,22,17,0
43,3.5,Online,0,9,6,0
44,240.04,POS,0,23,7,0
45,29.95,POS,0,19,13,0
46,108.63,POS,0,16,6,0
47,37.35,ATM,0,4,3,0
48,73.41,Online,1,13,27,1
49,79.12,POS,0,16,25,1
50,20.44,POS,0,10,13,1
51,349.28,Online,0,3,10,1
52,149.22,ATM,0,22,26,0
53,280.51,ATM,0,22,4,1
54,225.22,POS,0,16,5,1
55,91.11,POS,0,1,21,1
56,254.94,Online,0,20,19,1
57,9.27,POS,0,21,28,0
58,21.81,Online,0,0,18,0
59,4.63,POS,0,17,24,0
60,39.35,POS,0,6,7,1
61,49.21,POS,0,21,21,1
62,31.66,ATM,0,5,29,0
63,176.46,Online,0,5,1,1
64,44.12,Online,0,13,26,1
65,32.98,ATM,0,22,17,0
66,78.24,ATM,0,11,24,1
67,15.19,ATM,0,13,20,1
68,162.05,Online,0,13,29,1
69,7.75,POS,0,11,20,1
70,433.41,ATM,0,8,30,1
71,147.95,ATM,0,8,25,1
72,22.15,ATM,0,1,18,1
73,0.55,POS,0,17,5,1
74,168.99,POS,0,4,22,1
75,122.71,ATM,0,22,6,1
76,130.57,POS,0,11,10,0
77,147.52,ATM,0,13,28,0
78,7.69,POS,0,12,30,0
79,44.39,Online,0,2,19,0
80,12.32,Online,0,14,10,1
81,198.85,POS,0,14,6,0
82,97.63,Online,0,2,10,0
83,40.18,Online,0,19,10,0
84,6.57,Online,0,18,21,0
85,37.25,ATM,0,14,12,0
86,39.33,POS,0,18,24,1
87,130.79,POS,0,7,4,0
88,101.49,POS,0,22,13,1
89,218.23,Online,0,12,26,1
90,63.91,ATM,0,22,10,1
91,12.74,POS,0,9,16,1
92,124.91,Online,0,1,19,0
93,143.04,ATM,0,10,6,1
94,82.39,ATM,0,21,26,1
95,147.39,POS,0,18,30,1
96,68.08,POS,0,8,9,0
97,73.97,Online,0,8,14,1
98,55.78,POS,0,5,24,0
99,2.57,Online,0,9,10,0
100,11.42,ATM,0,21,8,1
101,3.19,ATM,0,23,3,1
102,101.17,ATM,0,7,17,1
103,37.74,ATM,0,14,19,1
104,71.04,POS,0,5,30,0
105,238.13,POS,0,6,3,1
106,28.67,Online,0,19,14,0
107,52.83,Online,0,16,28,0
108,140.87,Online,0,3,6,0
109,25.98,Online,0,7,29,0
110,8.01,Online,0,12,19,1
111,34.21,ATM,0,23,18,0
112,17.58,ATM,0,13,12,0
113,265.5,ATM,0,17,15,1
114,165.09,Online,0,22,25,1
115,100.35,ATM,0,16,6,1
116,205.15,ATM,0,17,21,1
117,162.8,ATM,0,13,12,0
118,20.65,ATM,0,23,19,0
119,223.08,POS,0,10,7,0
120,77.51,Online,0,9,23,0
121,164.73,Online,0,12,20,0
122,226.42,POS,0,19,10,0
123,38.27,ATM,0,15,18,1
124,11.66,ATM,0,13,2,1
125,25.87,ATM,0,2,13,0
126,55.71,Online,0,17,15,0
127,170.38,Online,0,5,28,0
128,197.13,Online,0,19,24,0
129,0.7,Online,0,2,4,0
130,71.49,Online,0,18,7,1
131,54.03,POS,0,2,3,1
132,25.12,Online,0,11,25,1
133,12.77,ATM,0,7,16,0
134,41.19,Online,0,4,26,0
135,286.31,POS,0,16,9,1
136,39.04,ATM,0,9,23,0
137,73.15,POS,0,20,23,0
138,121.41,ATM,0,16,17,0
139,45.2,Online,0,8,26,0
140,356.78,POS,0,12,8,1
141,328.2,ATM,0,9,18,0
142,29.01,Online,0,7,24,1
143,68.77,ATM,0,6,27,0
144,35.79,POS,0,1,13,1
145,33.52,POS,0,1,2,1
146,3.76,POS,0,3,1,0
147,94.05,POS,0,8,16,1
148,69.85,Online,0,13,16,1
149,5.29,ATM,0,23,11,1
150,32.66,Online,0,10,24,1
151,238.89,POS,0,20,4,1
152,27.39,ATM,0,6,11,0
153,15.65,POS,0,18,26,1
154,67.23,Online,0,3,6,0
155,424.4,Online,0,1,26,1
156,27.71,Online,0,22,29,1
157,111.52,ATM,0,21,11,0
158,143.39,ATM,0,20,26,1
159,27.13,POS,0,22,1,1
160,130.27,ATM,0,18,9,1
161,45.85,ATM,0,20,27,0
162,100.05,Online,0,17,7,0
163,100.38,POS,0,20,21,1
164,76.74,Online,0,6,22,0
165,9.46,POS,0,10,3,1
166,180.36,POS,0,9,29,0
167,38.68,ATM,0,10,9,0
168,20.64,Online,0,22,2,0
169,4.16,ATM,0,8,28,1
170,89.38,ATM,0,2,10,0
171,113.19,ATM,0,23,17,1
172,1.67,POS,0,4,30,0
173,71.76,Online,0,22,1,1
